Index,Label,StartChar,EndChar
450,DATE,24,28
450,ORDINAL,45,50
451,DATE,57,61
452,ORG,0,7
452,ORG,37,46
452,DATE,58,62
452,CARDINAL,68,70
452,CARDINAL,75,78
453,PERSON,16,23
453,CARDINAL,35,37
453,CARDINAL,42,45
454,PERSON,12,19
455,PERSON,12,19
455,PERSON,47,62
456,PERSON,0,7
456,DATE,39,43
457,PERSON,14,26
458,PERSON,15,22
459,PERSON,13,25
460,ORG,7,14
461,PERSON,9,16
461,ORDINAL,19,24
462,PERSON,9,16
464,ORG,17,24
465,GPE,50,60
466,PERSON,17,24
466,WORK_OF_ART,62,69
467,PERSON,14,21
468,PERSON,22,29
469,PERSON,8,18
470,PERSON,30,35
471,ORG,21,28
471,PRODUCT,31,36
472,PERSON,14,21
472,DATE,32,36
472,PERSON,54,69
473,PERSON,0,7
473,ORDINAL,24,29
474,DATE,0,20
474,PERSON,25,32
474,PERSON,40,47
475,PERSON,0,7
476,PERSON,26,33
477,PERSON,22,35
478,PERSON,28,43
479,PERSON,9,16
480,PERSON,22,27
482,ORG,9,16
483,ORG,9,16
484,ORG,13,20
485,PERSON,0,7
486,PERSON,0,7
487,PERSON,4,9
487,CARDINAL,33,34
488,PERSON,4,9
488,ORDINAL,10,15
489,PERSON,14,21
489,DATE,35,39
490,PERSON,29,38
490,NORP,58,63
491,PERSON,10,19
491,ORDINAL,36,41
492,PERSON,19,26
493,ORG,20,27
494,PERSON,0,9
494,ORG,34,41
495,PERSON,9,16
496,PERSON,13,18
497,PERSON,25,32
498,PERSON,26,33
498,PERSON,41,48
499,PERSON,14,21
501,PERSON,8,17
502,PERSON,9,20
503,CARDINAL,19,29
503,CARDINAL,37,41
504,ORG,18,25
505,PERSON,0,7
506,PERSON,41,48
507,PERSON,14,21
507,PERSON,35,47
508,PERSON,21,33
509,GPE,22,27
510,GPE,29,34
511,ORG,20,27
512,ORG,9,16
512,PERSON,27,39
513,PERSON,0,12
514,PERSON,8,15
514,DATE,24,37
514,PERSON,43,55
515,PERSON,0,7
516,PERSON,33,40
517,PERSON,48,55
517,DATE,59,63
518,PERSON,44,51
519,ORG,0,17
519,DATE,40,49
519,PERSON,63,70
522,ORG,27,34
523,ORG,11,18
524,DATE,3,12
524,ORG,50,65
524,NORP,101,108
525,PERSON,9,16
526,DATE,3,17
526,PERSON,40,47
527,PERSON,0,7
527,ORDINAL,10,15
528,WORK_OF_ART,1,23
528,PERSON,47,54
529,DATE,0,20
529,ORG,25,27
529,PERSON,36,43
530,PERSON,23,30
530,CARDINAL,34,42
530,CARDINAL,50,53
531,WORK_OF_ART,11,30
532,ORG,44,48
533,GPE,36,38
534,CARDINAL,39,42
535,ORG,14,21
535,ORDINAL,22,27
535,PERSON,38,46
536,PERSON,19,26
536,WORK_OF_ART,36,64
537,NORP,15,22
538,ORG,39,46
539,PERSON,16,23
540,NORP,6,22
540,PERSON,36,43
540,ORG,58,69
541,PERSON,22,29
542,ORG,20,38
543,ORDINAL,16,22
543,NORP,24,40
544,ORG,0,7
544,ORDINAL,16,22
544,NORP,23,39
544,ORDINAL,100,105
545,PERSON,19,26
546,PERSON,0,7
547,ORG,7,19
547,PERSON,29,36
548,PERSON,38,45
548,ORG,63,75
549,PERSON,8,15
551,ORG,41,48
552,ORG,34,41
553,WORK_OF_ART,16,24
554,PERSON,0,7
555,NORP,6,12
555,PERSON,26,33
556,PERSON,0,7
556,NORP,37,43
557,DATE,6,10
557,PERSON,43,50
558,PERSON,24,31
558,DATE,39,43
559,NORP,5,11
560,PERSON,36,46
561,NORP,5,11
561,PERSON,25,32
562,ORG,22,29
563,PERSON,25,35
564,PERSON,41,48
565,ORG,21,44
565,PERSON,102,109
566,PERSON,38,45
567,ORG,9,14
568,ORG,8,15
569,NORP,68,84
569,ORG,105,112
570,DATE,3,7
571,ORG,30,37
572,PERSON,23,30
573,PERSON,8,15
573,DATE,24,28
574,DATE,10,20
574,PERSON,39,46
575,DATE,6,20
575,PERSON,26,33
575,CARDINAL,53,56
576,CARDINAL,40,43
576,DATE,52,61
577,ORG,13,21
578,PERSON,9,16
578,ORDINAL,17,22
581,ORG,16,23
581,DATE,58,74
582,ORG,24,56
583,ORG,14,21
583,DATE,30,34
584,PERSON,9,16
584,GPE,46,63
585,PERSON,14,21
586,PERSON,22,29
586,ORDINAL,39,44
587,ORG,26,33
587,PERSON,65,79
588,PERSON,0,11
588,PERSON,71,78
589,PERSON,16,27
589,ORG,40,45
590,PERSON,18,25
591,PERSON,11,18
592,PERSON,18,25
592,PERSON,35,42
593,ORG,6,11
593,PERSON,22,29
593,CARDINAL,53,56
594,FAC,21,39
595,PERSON,12,19
596,PERSON,35,50
597,ORG,0,7
597,ORG,10,15
597,ORG,55,60
597,DATE,82,86
598,DATE,45,54
599,WORK_OF_ART,9,15
599,WORK_OF_ART,28,41
600,WORK_OF_ART,13,18
600,WORK_OF_ART,22,26
601,PERSON,38,45
601,DATE,49,53
602,PERSON,12,19
603,PERSON,9,16
603,PERSON,36,49
603,DATE,53,62
604,WORK_OF_ART,9,15
604,WORK_OF_ART,27,32
604,WORK_OF_ART,36,40
605,WORK_OF_ART,20,25
605,WORK_OF_ART,29,33
607,GPE,28,33
607,WORK_OF_ART,37,41
607,CARDINAL,63,66
608,WORK_OF_ART,10,28
608,DATE,33,37
609,PERSON,9,22
609,PERSON,34,41
610,PERSON,33,40
610,GPE,53,55
611,PERSON,40,47
612,PERSON,28,35
612,ORG,51,55
613,PERSON,5,12
613,ORG,22,37
614,ORDINAL,12,17
614,LAW,36,66
614,ORG,70,95
615,PERSON,20,27
615,GPE,57,60
617,ORG,35,50
618,FAC,21,37
619,DATE,50,59
620,ORG,21,28
620,GPE,37,54
621,ORG,21,28
622,PERSON,10,17
622,DATE,55,64
623,ORG,28,32
623,ORG,38,45
624,ORG,9,16
624,FAC,25,41
625,GPE,9,16
625,PERSON,21,28
625,PERSON,56,63
626,WORK_OF_ART,38,44
626,PERSON,57,64
627,PERSON,0,7
627,WORK_OF_ART,34,40
628,PERSON,0,7
628,TIME,46,55
629,ORG,19,64
629,DATE,68,72
629,PERSON,77,84
631,WORK_OF_ART,9,15
631,PERSON,33,40
632,WORK_OF_ART,37,43
632,TIME,58,67
633,PERSON,29,37
633,TIME,45,54
633,DATE,58,62
634,GPE,9,16
634,ORG,21,28
635,WORK_OF_ART,9,15
635,ORG,32,39
636,PERSON,5,12
636,DATE,30,38
636,DATE,42,46
637,ORG,15,22
637,ORG,36,72
638,PERSON,23,30
638,DATE,52,56
639,ORG,0,5
639,PERSON,11,18
639,DATE,31,35
640,PERSON,37,44
640,ORG,55,60
641,PERSON,46,53
641,ORG,71,76
642,PERSON,9,16
642,ORG,29,34
643,PERSON,31,38
643,DATE,42,46
644,MONEY,29,47
644,DATE,51,55
645,ORG,53,58
646,ORG,28,35
646,DATE,54,58
647,ORG,13,20
647,DATE,65,69
649,ORG,53,60
649,PERCENT,97,100
650,PERSON,0,7
650,ORG,41,50
650,ORG,55,69
652,PERSON,0,7
652,ORDINAL,10,15
653,PERSON,9,15
653,DATE,53,62
654,PERSON,28,34
655,PERSON,9,16
655,DATE,19,23
656,ORDINAL,13,19
656,PERSON,29,38
657,PERSON,9,16
657,ORDINAL,19,24
658,PERSON,21,25
659,PERSON,6,20
659,ORG,35,42
659,DATE,54,58
660,ORG,14,21
660,ORDINAL,36,41
661,PERSON,9,16
661,ORDINAL,19,24
662,PERSON,21,25
663,PERSON,14,21
663,ORG,51,67
663,ORG,72,79
664,PERSON,59,66
665,PERSON,9,16
666,PERSON,31,38
669,PERSON,20,27
671,NORP,37,44
673,PERSON,8,15
673,DATE,54,58
674,PERSON,32,39
674,GPE,46,53
675,ORG,27,56
677,PERSON,8,15
677,GPE,32,38
679,ORG,20,27
680,ORG,8,42
680,DATE,59,71
681,GPE,9,16
682,GPE,29,36
683,PERSON,23,30
684,ORG,22,27
684,DATE,66,70
685,PERSON,27,34
685,ORG,54,59
688,ORG,31,38
689,ORG,48,55
690,ORG,53,60
692,ORG,0,5
692,FAC,9,15
692,PERSON,37,44
692,PERSON,58,65
693,PERSON,0,7
694,PERSON,0,7
695,PERSON,35,42
696,CARDINAL,6,9
696,PERSON,37,44
697,PERSON,19,26
697,PERSON,55,61
698,PERSON,9,16
698,PERSON,38,44
699,PERSON,34,41
701,ORG,14,33
701,ORG,65,72
702,ORG,20,39
703,PERSON,35,42
703,DATE,59,63
704,DATE,3,7
704,GPE,9,16
704,PERSON,26,32
705,DATE,42,51
705,PERSON,55,62
707,PERSON,18,25
707,DATE,51,55
708,PERSON,9,16
708,ORG,30,33
708,GPE,53,59
709,ORG,17,24
709,DATE,46,50
710,PERSON,41,56
710,DATE,60,64
711,DATE,53,57
711,ORG,61,68
712,NORP,8,15
712,DATE,32,36
712,GPE,62,68
713,PERSON,0,12
713,ORG,17,23
713,ORG,67,71
714,PERSON,0,7
714,DATE,16,28
715,ORG,12,20
717,PERSON,8,15
719,ORG,17,24
719,GPE,59,66
720,ORG,65,72
720,NORP,81,88
720,DATE,112,116
721,NORP,31,38
721,ORG,56,63
722,PERSON,30,37
722,ORG,48,71
723,PERSON,18,25
723,ORG,48,71
724,DATE,5,26
724,EVENT,33,40
725,PERSON,9,16
725,ORG,21,28
725,DATE,38,42
726,PERSON,13,20
727,DATE,35,47
728,ORG,20,27
728,EVENT,40,57
729,ORG,19,26
729,EVENT,62,79
730,ORG,25,32
731,PERSON,8,15
732,PERSON,0,7
733,PERSON,6,23
733,PERSON,47,54
734,PERSON,30,37
735,PERSON,20,27
735,DATE,52,65
736,PERSON,54,63
736,GPE,68,71
737,PERSON,33,47
738,CARDINAL,6,9
738,NORP,20,27
738,GPE,44,49
739,PERSON,9,16
739,FAC,25,51
739,DATE,55,59
740,PERSON,5,18
740,ORG,28,35
740,PERSON,48,63
741,PERSON,28,35
741,WORK_OF_ART,48,61
742,PERSON,14,21
743,PERSON,0,7
744,DATE,3,16
744,WORK_OF_ART,49,67
745,PERSON,0,7
747,WORK_OF_ART,22,48
749,ORG,38,45
750,WORK_OF_ART,46,59
751,PERSON,14,21
751,DATE,36,40
751,EVENT,41,63
752,ORG,8,15
752,DATE,29,33
753,ORG,9,17
754,ORG,16,24
755,ORG,24,32
756,ORG,17,25
757,ORG,16,24
757,GPE,37,43
758,PERSON,14,20
759,PERSON,13,19
760,PERSON,10,16
762,ORG,16,22
762,GPE,30,36
763,PERSON,9,15
764,PERSON,9,15
765,ORG,16,22
766,PERSON,0,6
767,DATE,3,12
767,PERSON,17,23
768,PERSON,17,23
769,PERSON,12,18
769,GPE,32,38
770,PERSON,25,31
771,PERSON,14,20
772,ORG,16,24
772,GPE,33,38
773,ORG,33,41
774,DATE,3,12
774,ORG,17,25
774,GPE,48,54
775,ORG,17,25
776,ORG,9,17
777,DATE,39,41
778,DATE,44,58
779,ORG,24,30
780,GPE,37,43
781,DATE,62,70
782,ORG,16,22
782,GPE,31,36
783,DATE,7,24
783,PERSON,59,65
784,PERSON,14,20
784,GPE,41,47
785,DATE,3,17
786,DATE,3,12
786,PERSON,17,23
786,NORP,33,39
787,ORG,9,15
787,DATE,25,39
788,PERSON,39,45
789,ORG,41,49
790,ORG,17,25
791,ORG,16,24
792,ORG,21,29
793,ORG,24,32
793,GPE,53,58
795,PERSON,17,23
796,CARDINAL,9,12
796,PERSON,20,26
797,CARDINAL,5,10
797,PERSON,32,38
798,ORG,0,6
799,ORG,38,44
800,ORG,0,6
801,ORG,0,6
802,CARDINAL,5,10
802,PERSON,25,31
803,ORG,27,33
804,ORG,46,52
805,PERSON,18,24
806,ORG,23,31
807,ORG,14,22
808,ORG,17,25
809,ORG,27,35
810,PERSON,10,16
811,ORG,0,6
813,ORG,0,6
814,PERSON,10,16
815,PERSON,0,6
816,ORG,0,6
817,ORG,20,28
818,ORG,17,25
820,NORP,13,18
820,ORG,27,35
821,ORG,31,39
821,GPE,71,77
822,PERSON,10,16
823,ORG,40,59
826,ORG,0,6
826,LANGUAGE,24,29
827,ORG,0,19
828,ORG,0,6
829,PERSON,46,52
830,NORP,12,17
830,ORG,26,32
831,PERSON,0,6
831,GPE,36,42
832,NORP,12,18
832,NORP,46,52
833,ORG,8,16
833,DATE,35,39
834,ORG,17,25
835,ORG,18,26
835,PERSON,37,44
836,ORG,27,33
837,PERSON,10,16
838,ORG,0,6
839,PERSON,20,26
840,ORG,20,26
841,PERSON,9,15
841,ORDINAL,27,32
842,PERSON,14,20
843,PERSON,8,14
844,DATE,12,17
844,ORG,22,30
844,GPE,39,45
845,ORG,18,26
845,GPE,66,72
